Postal Code,Latitude,Longitude,Population Density ha/km²
75001,48.8592,2.3417,9 041
75002,48.8655,2.3426,21 006
75003,48.8637,2.3615,29 956
75004,48.8601,2.3507,16 966
75005,48.8448,2.3471,23 359
75006,48.8493,2.33,19 734
75007,48.8565,2.321,13 235
75008,48.8763,2.3183,9 457
75009,48.8791,2.3336,27 251
75010,48.8709,2.3561,31 754
75011,48.8574,2.3795,40 827
75012,48.8412,2.3876,22 345
75013,48.8322,2.3561,25 625
75014,48.8331,2.3264,24 821
75015,48.8412,2.3003,27 712
75016,48.8637,2.2769,20 921
75017,48.8835,2.3219,29 724
75018,48.8925,2.3444,32 875
75019,48.8817,2.3822,27 342
75020,48.8646,2.3984,32 702
